State,Year,RICE_YIELD_Kg_per_ha,WHEAT_YIELD_Kg_per_ha,KHARIF_SORGHUM_YIELD_Kg_per_ha,RABI_SORGHUM_YIELD_Kg_per_ha,SORGHUM_YIELD_Kg_per_ha,PEARL_MILLET_YIELD_Kg_per_ha,MAIZE_YIELD_Kg_per_ha,FINGER_MILLET_YIELD_Kg_per_ha,BARLEY_YIELD_Kg_per_ha,CHICKPEA_YIELD_Kg_per_ha,PIGEONPEA_YIELD_Kg_per_ha,MINOR_PULSES_YIELD_Kg_per_ha,GROUNDNUT_YIELD_Kg_per_ha,SESAMUM_YIELD_Kg_per_ha,RAPESEED_AND_MUSTARD_YIELD_Kg_per_ha,SAFFLOWER_YIELD_Kg_per_ha,CASTOR_YIELD_Kg_per_ha,LINSEED_YIELD_Kg_per_ha,SUNFLOWER_YIELD_Kg_per_ha,SOYABEAN_YIELD_Kg_per_ha,OILSEEDS_YIELD_Kg_per_ha,SUGARCANE_YIELD_Kg_per_ha,COTTON_YIELD_Kg_per_ha
Andhra Pradesh,1966,810.04,0.0,500.0,485.71,492.75,727.27,1000.0,826.09,0.0,0.0,500.0,154.91,1303.57,190.08,0.0,0.0,0.0,0.0,0.0,0.0,1013.32,6288.14,0.0
Andhra Pradesh,1966,598.68,0.0,509.8,481.01,492.31,770.49,500.0,750.0,0.0,200.0,333.33,145.53,878.05,515.25,0.0,0.0,166.67,0.0,0.0,0.0,663.82,7633.14,0.0
Andhra Pradesh,1966,1555.56,0.0,515.63,456.52,490.91,722.22,1000.0,875.0,0.0,300.0,400.0,176.17,785.71,315.07,0.0,0.0,0.0,0.0,0.0,0.0,313.38,6873.87,0.0
Andhra Pradesh,1966,1644.26,0.0,509.8,296.3,378.79,500.0,750.0,1000.0,0.0,500.0,500.0,138.31,888.89,305.44,0.0,0.0,166.67,0.0,0.0,0.0,402.83,9753.55,0.0
Andhra Pradesh,1966,1286.86,0.0,600.0,475.83,476.76,666.67,1000.0,1000.0,0.0,200.0,500.0,204.82,638.89,347.83,0.0,0.0,0.0,0.0,0.0,0.0,625.16,8702.7,80.0
Andhra Pradesh,1966,1462.96,0.0,660.38,870.76,778.17,516.13,1000.0,800.0,0.0,250.0,833.33,165.32,818.18,333.33,0.0,0.0,117.65,0.0,0.0,0.0,616.66,7750.0,71.43
Andhra Pradesh,1966,1289.68,0.0,234.01,342.52,294.99,660.38,500.0,935.48,0.0,333.33,500.0,132.95,846.15,342.11,0.0,0.0,76.14,0.0,0.0,0.0,486.49,8000.0,60.0
Andhra Pradesh,1966,1244.9,181.82,424.88,343.98,383.44,709.68,1000.0,875.0,0.0,333.33,625.0,155.56,609.44,400.0,0.0,145.6,116.88,0.0,0.0,0.0,586.77,8500.0,70.92
Andhra Pradesh,1966,1730.16,230.77,545.06,342.92,488.17,347.17,300.0,743.59,0.0,500.0,172.41,123.36,654.76,187.97,0.0,106.02,192.66,0.0,0.0,0.0,588.5,8500.0,47.62
Andhra Pradesh,1966,1532.47,0.0,746.85,465.75,725.16,510.64,1000.0,1368.42,0.0,300.0,400.0,155.68,872.55,347.83,0.0,170.15,111.11,0.0,0.0,0.0,839.32,6800.0,83.33
Andhra Pradesh,1966,1647.44,1000.0,810.06,466.67,783.51,625.0,1000.0,901.64,0.0,0.0,666.67,96.78,1027.03,333.33,0.0,0.0,200.0,0.0,0.0,0.0,994.37,8432.2,0.0
