State,Year,Fertilizer_N,Fertilizer_P,Fertilizer_K,Fertilizer_Total
Andhra Pradesh,1966,11.1,3.54,0.0,7072.0
Andhra Pradesh,1966,7.54,3.35,0.0,4657.0
Andhra Pradesh,1966,29.14,12.94,0.0,16979.0
Andhra Pradesh,1966,-1.0,-1.0,-1.0,-1.0
Andhra Pradesh,1966,20.14,10.17,0.0,14994.0
Andhra Pradesh,1966,14.12,6.39,0.0,18848.0
Andhra Pradesh,1966,5.47,1.51,0.0,4538.0
Andhra Pradesh,1966,4.0,0.96,0.0,5356.0
Andhra Pradesh,1966,2.87,0.28,0.0,3004.0
Andhra Pradesh,1966,5.13,0.49,0.0,2356.0
Andhra Pradesh,1966,9.88,0.6,0.0,4818.0
Andhra Pradesh,1967,7.26,1.04,0.46,4360.0
Andhra Pradesh,1967,6.91,1.64,0.81,3927.0
Andhra Pradesh,1967,34.01,8.86,3.0,19221.0
Andhra Pradesh,1967,-1.0,-1.0,-1.0,-1.0
Andhra Pradesh,1967,43.59,15.23,1.99,30182.0
Andhra Pradesh,1967,25.47,6.91,2.22,30712.0
Andhra Pradesh,1967,12.5,1.85,1.26,9840.0
Andhra Pradesh,1967,8.1,3.88,0.86,14431.0
Andhra Pradesh,1967,6.89,1.14,0.03,7344.0
Andhra Pradesh,1967,12.4,2.57,0.37,6553.0
Andhra Pradesh,1967,12.61,3.94,0.27,7394.0
Andhra Pradesh,1968,7.21,0.7,0.0,3549.0
Andhra Pradesh,1968,7.61,1.18,0.0,3542.0
Andhra Pradesh,1968,52.98,9.82,0.13,23895.0
Andhra Pradesh,1968,76.56,20.02,2.5,39794.0
Andhra Pradesh,1968,59.28,17.93,0.12,38359.0
Andhra Pradesh,1968,35.14,11.97,0.22,41246.0
Andhra Pradesh,1968,11.89,3.27,0.0,8908.0
Andhra Pradesh,1968,18.46,7.57,0.03,28625.0
Andhra Pradesh,1968,5.85,0.89,0.0,5746.0
Andhra Pradesh,1968,35.97,5.0,0.0,17966.0
Andhra Pradesh,1968,10.62,3.17,0.0,5920.0
Andhra Pradesh,1969,9.48,1.17,0.01,5203.0
Andhra Pradesh,1969,8.29,1.88,0.01,4760.0
Andhra Pradesh,1969,44.02,14.54,0.32,24160.0
Andhra Pradesh,1969,81.4,13.73,2.67,41519.0
Andhra Pradesh,1969,67.63,16.72,0.97,43290.0
Andhra Pradesh,1969,43.68,11.28,0.15,50404.0
Andhra Pradesh,1969,11.23,4.04,0.48,9926.0
Andhra Pradesh,1969,12.0,6.92,0.38,21567.0
Andhra Pradesh,1969,6.96,0.91,0.06,6713.0
Andhra Pradesh,1969,12.38,4.69,0.45,8003.0
Andhra Pradesh,1969,9.91,4.37,0.4,6658.0
Andhra Pradesh,1970,11.98,1.21,0.25,6686.0
Andhra Pradesh,1970,12.75,3.47,0.06,7404.0
Andhra Pradesh,1970,32.13,8.42,2.16,17813.0
Andhra Pradesh,1970,46.69,13.09,4.71,27139.0
Andhra Pradesh,1970,33.67,14.38,3.8,25665.0
Andhra Pradesh,1970,46.26,12.27,5.12,56584.0
Andhra Pradesh,1970,29.13,6.52,2.81,22475.0
Andhra Pradesh,1970,15.38,7.71,1.52,27953.0
Andhra Pradesh,1970,3.18,0.93,0.16,4188.0
Andhra Pradesh,1970,13.07,6.6,0.81,8916.0
Andhra Pradesh,1970,12.47,4.87,0.67,8532.0
Andhra Pradesh,1971,10.38,1.53,0.0,5786.0
Andhra Pradesh,1971,10.61,2.61,0.05,5868.0
Andhra Pradesh,1971,36.28,18.47,0.51,23134.0
Andhra Pradesh,1971,56.1,19.68,1.79,29876.0
Andhra Pradesh,1971,43.57,19.45,1.07,31426.0
Andhra Pradesh,1971,35.06,17.38,1.37,46313.0
Andhra Pradesh,1971,17.09,6.96,1.06,14483.0
Andhra Pradesh,1971,9.6,2.44,0.11,13299.0
Andhra Pradesh,1971,3.46,7.05,1.12,10437.0
Andhra Pradesh,1971,17.81,6.46,0.81,10603.0
Andhra Pradesh,1971,7.84,3.91,0.62,6040.0
Andhra Pradesh,1972,11.56,2.7,0.1,6731.0
Andhra Pradesh,1972,8.12,2.24,0.16,4364.0
Andhra Pradesh,1972,47.74,12.39,2.73,24169.0
Andhra Pradesh,1972,56.16,19.7,1.79,29876.0
Andhra Pradesh,1972,40.62,21.47,4.17,32441.0
Andhra Pradesh,1972,29.78,17.42,2.88,39788.0
Andhra Pradesh,1972,15.12,7.53,2.35,13338.0
Andhra Pradesh,1972,10.93,2.7,2.03,17469.0
Andhra Pradesh,1972,2.48,1.09,0.65,3902.0
Andhra Pradesh,1972,12.96,6.99,2.08,9254.0
Andhra Pradesh,1972,15.59,5.21,0.58,10163.0
Andhra Pradesh,1973,12.98,4.16,0.44,8456.0
Andhra Pradesh,1973,17.13,3.47,0.38,7424.0
Andhra Pradesh,1973,42.35,15.25,2.34,24007.0
Andhra Pradesh,1973,37.68,14.83,2.73,23113.0
Andhra Pradesh,1973,24.44,12.17,3.45,20460.0
Andhra Pradesh,1973,22.57,4.11,4.18,28025.0
Andhra Pradesh,1973,16.0,6.94,3.39,15858.0
Andhra Pradesh,1973,11.34,6.58,2.27,22507.0
Andhra Pradesh,1973,3.49,1.3,0.61,5177.0
Andhra Pradesh,1973,15.6,6.52,2.34,10515.0
Andhra Pradesh,1973,13.72,5.67,2.52,10675.0
Andhra Pradesh,1974,14.72,5.45,1.08,9545.0
Andhra Pradesh,1974,12.1,5.54,2.08,7570.0
Andhra Pradesh,1974,21.01,4.16,2.1,11396.0
Andhra Pradesh,1974,55.0,17.42,6.16,32995.0
Andhra Pradesh,1974,20.0,7.02,4.3,16455.0
Andhra Pradesh,1974,35.48,7.9,3.9,43400.0
Andhra Pradesh,1974,16.77,6.37,3.7,16291.0
Andhra Pradesh,1974,11.29,3.7,2.59,19470.0
Andhra Pradesh,1974,5.53,0.66,0.8,6586.0
Andhra Pradesh,1974,13.54,4.21,1.59,8171.0
Andhra Pradesh,1974,15.42,3.45,1.49,10141.0
Andhra Pradesh,1975,17.37,2.33,0.57,10068.0
Andhra Pradesh,1975,17.25,1.34,0.28,8200.0
Andhra Pradesh,1975,55.97,9.69,4.18,28889.0
Andhra Pradesh,1975,60.17,10.17,3.61,30563.0
Andhra Pradesh,1975,42.26,8.51,1.84,26389.0
Andhra Pradesh,1975,48.41,12.32,4.21,59612.0
Andhra Pradesh,1975,22.59,4.53,2.15,17212.0
Andhra Pradesh,1975,11.54,4.59,1.41,18555.0
Andhra Pradesh,1975,5.14,0.91,0.58,6261.0
Andhra Pradesh,1975,11.89,3.74,0.87,6623.0
Andhra Pradesh,1975,16.49,3.33,1.25,10584.0
Andhra Pradesh,1976,16.97,3.35,0.41,10225.0
Andhra Pradesh,1976,22.89,2.58,0.49,10093.0
Andhra Pradesh,1976,63.46,7.96,3.58,30909.0
Andhra Pradesh,1976,46.31,11.36,3.93,25285.0
Andhra Pradesh,1976,57.89,21.1,5.48,41568.0
Andhra Pradesh,1976,57.18,16.2,6.57,71506.0
Andhra Pradesh,1976,27.96,7.09,3.03,22118.0
Andhra Pradesh,1976,17.9,7.56,1.78,25045.0
Andhra Pradesh,1976,7.31,1.68,0.56,7022.0
Andhra Pradesh,1976,22.09,5.82,1.1,11583.0
Andhra Pradesh,1976,15.61,4.04,1.43,10250.0
Andhra Pradesh,1977,21.49,3.98,0.26,12476.0
Andhra Pradesh,1977,30.96,3.98,0.31,14311.0
Andhra Pradesh,1977,57.72,15.25,3.62,30358.0
Andhra Pradesh,1977,78.52,30.73,6.39,47123.0
Andhra Pradesh,1977,65.74,27.58,7.11,49709.0
Andhra Pradesh,1977,76.71,36.58,12.53,110691.0
Andhra Pradesh,1977,33.06,10.15,4.06,26440.0
Andhra Pradesh,1977,24.17,14.18,3.99,44093.0
Andhra Pradesh,1977,7.06,2.98,1.23,10388.0
Andhra Pradesh,1977,15.99,6.38,0.97,9403.0
Andhra Pradesh,1977,23.43,8.23,3.45,17126.0
Andhra Pradesh,1978,22.39,3.22,0.15,12550.0
Andhra Pradesh,1978,25.69,4.36,0.39,12574.0
Andhra Pradesh,1978,103.81,22.61,8.12,55082.0
Andhra Pradesh,1978,96.65,35.56,5.83,58295.0
Andhra Pradesh,1978,52.04,15.63,5.82,37225.0
Andhra Pradesh,1978,62.27,22.02,9.21,82991.0
Andhra Pradesh,1978,27.85,5.65,3.33,21580.0
Andhra Pradesh,1978,26.66,10.89,3.57,43109.0
Andhra Pradesh,1978,10.46,4.15,3.35,16295.0
Andhra Pradesh,1978,28.8,10.39,1.79,16859.0
Andhra Pradesh,1978,24.03,7.98,4.75,18410.0
Andhra Pradesh,1979,27.48,3.29,0.24,14544.0
Andhra Pradesh,1979,17.46,2.83,0.2,8931.0
Andhra Pradesh,1979,92.76,21.61,5.32,43328.0
Andhra Pradesh,1979,122.8,49.43,16.89,68689.0
Andhra Pradesh,1979,87.65,32.95,10.49,62136.0
Andhra Pradesh,1979,57.69,18.28,6.22,68133.0
Andhra Pradesh,1979,24.06,6.02,2.61,18375.0
Andhra Pradesh,1979,19.97,9.72,3.36,33715.0
Andhra Pradesh,1979,6.97,3.12,1.73,10365.0
Andhra Pradesh,1979,27.49,10.94,3.01,16413.0
Andhra Pradesh,1979,25.47,6.56,5.12,18018.0
Andhra Pradesh,1980,27.94,2.82,0.44,14913.0
Andhra Pradesh,1980,15.7,3.83,0.52,8803.0
Andhra Pradesh,1980,72.71,14.14,5.82,38459.0
Andhra Pradesh,1980,98.12,38.72,13.08,64226.0
Andhra Pradesh,1980,66.68,18.31,9.19,47941.0
Andhra Pradesh,1980,71.91,21.93,7.97,88475.0
Andhra Pradesh,1980,27.1,6.29,4.07,20752.0
Andhra Pradesh,1980,22.29,10.96,3.68,33348.0
Andhra Pradesh,1980,6.92,3.16,2.07,10161.0
Andhra Pradesh,1980,35.05,12.69,3.5,17630.0
Andhra Pradesh,1980,20.68,6.36,2.51,12946.0
Andhra Pradesh,1981,36.87,5.46,0.32,20345.0
Andhra Pradesh,1981,21.92,6.11,0.32,12130.0
Andhra Pradesh,1981,76.11,21.61,6.15,44350.0
Andhra Pradesh,1981,79.5,31.12,8.95,50875.0
Andhra Pradesh,1981,70.48,28.62,7.04,53385.0
Andhra Pradesh,1981,67.31,29.7,12.28,96172.0
Andhra Pradesh,1981,48.94,20.49,6.78,44656.0
Andhra Pradesh,1981,28.36,12.44,6.53,48849.0
Andhra Pradesh,1981,13.78,4.71,2.21,19642.0
Andhra Pradesh,1981,44.24,12.89,4.43,24503.0
Andhra Pradesh,1981,35.86,7.33,3.88,22732.0
Andhra Pradesh,1982,44.54,4.62,0.26,22309.0
Andhra Pradesh,1982,28.5,3.97,0.45,13453.0
Andhra Pradesh,1982,93.74,14.45,10.04,48424.0
Andhra Pradesh,1982,89.44,29.01,13.84,56080.0
Andhra Pradesh,1982,85.81,26.47,11.8,62223.0
Andhra Pradesh,1982,111.09,40.35,11.69,140936.0
Andhra Pradesh,1982,37.83,12.79,10.34,33199.0
Andhra Pradesh,1982,34.62,16.05,10.11,61892.0
Andhra Pradesh,1982,8.04,3.59,2.27,12298.0
Andhra Pradesh,1982,31.67,12.66,4.07,18444.0
Andhra Pradesh,1982,22.04,9.99,4.95,15469.0
Andhra Pradesh,1983,36.76,7.8,0.26,21180.0
Andhra Pradesh,1983,27.0,4.9,0.28,14177.0
Andhra Pradesh,1983,110.58,26.23,11.0,64727.0
Andhra Pradesh,1983,175.37,67.61,23.23,114922.0
Andhra Pradesh,1983,87.32,27.97,11.58,64942.0
Andhra Pradesh,1983,78.95,37.61,14.68,119556.0
Andhra Pradesh,1983,72.45,24.98,11.91,66229.0
Andhra Pradesh,1983,29.58,15.31,5.78,50668.0
Andhra Pradesh,1983,8.27,4.33,1.56,13074.0
Andhra Pradesh,1983,28.78,9.96,2.95,17245.0
Andhra Pradesh,1983,25.79,8.34,3.34,18286.0
Andhra Pradesh,1984,40.77,10.57,0.37,24109.0
Andhra Pradesh,1984,30.63,6.44,0.48,15955.0
Andhra Pradesh,1984,107.61,34.28,11.6,57528.0
Andhra Pradesh,1984,210.97,69.22,21.92,122261.0
Andhra Pradesh,1984,123.7,42.66,13.85,85329.0
Andhra Pradesh,1984,128.68,58.98,26.13,186406.0
Andhra Pradesh,1984,98.0,32.7,13.75,81093.0
Andhra Pradesh,1984,28.58,16.16,5.91,46774.0
Andhra Pradesh,1984,6.49,5.28,1.79,11555.0
Andhra Pradesh,1984,39.17,19.85,5.28,22657.0
Andhra Pradesh,1984,34.11,12.73,7.17,25286.0
Andhra Pradesh,1985,45.06,13.98,0.56,28204.0
Andhra Pradesh,1985,34.39,9.88,0.97,18788.0
Andhra Pradesh,1985,74.64,16.56,6.66,37675.0
Andhra Pradesh,1985,225.37,92.26,27.96,143626.0
Andhra Pradesh,1985,140.44,42.64,13.52,97142.0
Andhra Pradesh,1985,99.29,55.13,19.66,150505.0
Andhra Pradesh,1985,79.89,31.84,18.18,70309.0
Andhra Pradesh,1985,24.92,14.9,6.39,44141.0
Andhra Pradesh,1985,6.06,5.1,1.84,10351.0
Andhra Pradesh,1985,30.33,17.34,4.95,20276.0
Andhra Pradesh,1985,34.15,15.92,6.05,26461.0
Andhra Pradesh,1986,52.8,12.47,0.4,31397.0
