State,Year,Pesticides
India,1990,75000.0
India,1990,57945.0
India,1990,24712.0
India,1990,20947.0
India,1990,4418.0
India,1990,976.0
India,1990,6892.0
India,1990,5821.0
India,1990,791.0
India,1990,275.0
India,1990,1804.0
India,1990,2951.0
India,1990,10902.0
India,1990,6292.0
India,1990,3249.0
India,1990,1361.0
India,1990,28.0
India,1990,304.0
India,1990,11.0
India,1990,293.0
India,1990,0.0
India,1991,72133.0
India,1991,54420.0
India,1991,21213.0
India,1991,24122.0
India,1991,2737.0
India,1991,1056.0
India,1991,5292.0
India,1991,6003.0
India,1991,686.0
India,1991,285.0
India,1991,1881.0
India,1991,3151.0
India,1991,11078.0
India,1991,5761.0
India,1991,3746.0
India,1991,1571.0
India,1991,39.0
India,1991,593.0
India,1991,15.0
India,1991,578.0
India,1991,0.0
India,1992,70791.0
India,1992,51659.0
India,1992,18485.0
India,1992,24556.0
India,1992,2656.0
India,1992,1126.0
India,1992,4836.0
India,1992,7437.0
India,1992,750.0
India,1992,277.0
India,1992,2290.0
India,1992,4120.0
India,1992,10968.0
India,1992,5520.0
India,1992,3806.0
India,1992,1642.0
India,1992,43.0
India,1992,684.0
India,1992,10.0
India,1992,674.0
India,1992,0.0
India,1993,66074.0
India,1993,46827.0
India,1993,16356.0
India,1993,24000.0
India,1993,2478.0
India,1993,1289.0
India,1993,75.0
India,1993,2833.0
India,1993,7124.0
India,1993,629.0
India,1993,310.0
India,1993,1113.0
India,1993,2307.0
India,1993,2234.0
India,1993,10573.0
India,1993,5681.0
India,1993,3745.0
India,1993,2.0
India,1993,40.0
India,1993,997.0
India,1993,47.0
India,1993,497.0
India,1993,20.0
India,1993,436.0
India,1993,1008.0
India,1994,61357.0
India,1994,41994.0
India,1994,13452.0
India,1994,23664.0
India,1994,2775.0
India,1994,1345.0
India,1994,123.0
India,1994,635.0
India,1994,6810.0
India,1994,612.0
India,1994,472.0
India,1994,1919.0
India,1994,95.0
India,1994,2568.0
India,1994,46.0
India,1994,1098.0
India,1994,10177.0
India,1994,5884.0
India,1994,3807.0
India,1994,41.0
India,1994,3.0
India,1994,42.0
India,1994,400.0
India,1994,51.0
India,1994,310.0
India,1994,26.0
India,1994,284.0
India,1994,2015.0
India,1995,61257.0
India,1995,40045.0
India,1995,12272.0
India,1995,23656.0
India,1995,1744.0
India,1995,1628.0
India,1995,175.0
India,1995,570.0
India,1995,6120.0
India,1995,467.0
India,1995,207.0
India,1995,2271.0
India,1995,94.0
India,1995,2490.0
