State,Year,Crop,Yield,Rainfall_x,Pesticides,Fertilizer_Total,Rainfall_y,Pesticides_total_country
Andhra Pradesh,1997,Arhar/Tur,0.3358636365,927.5,49197.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Bajra,0.815882353,927.5,27714.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Castor seed,0.24166666700000003,927.5,52576.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Cotton(lint),1.6433333330000002,927.5,280953.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Dry chillies,1.8549545455,927.5,26768.5,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Gram,0.338,927.5,45446.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Groundnut,1.0350108225,927.5,284254.5,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Horse-gram,0.384,927.5,17065.5,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Jowar,0.762142857,927.5,122264.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Maize,2.7059090909999997,927.5,61364.5,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Mesta,5.98,927.5,26598.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Moong(Green Gram),0.3516666665,927.5,70339.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Other  Rabi pulses,0.166666667,927.5,1054.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Other Kharif pulses,0.218571429,927.5,2263.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Ragi,1.2159848485,927.5,15159.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Rice,2.3158695650000003,927.5,542531.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Sesamum,0.14535416650000002,927.5,21436.5,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Small millets,0.12250000000000001,927.5,2247.5,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Sugarcane,77.1065,927.5,59675.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Sunflower,0.44878542499999996,927.5,59520.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Tobacco,1.116666667,927.5,62589.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Urad,0.3203125,927.5,77717.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1997,Wheat,0.55375,927.5,3410.0,98336.63636363637,903.55,154697.0
Andhra Pradesh,1998,Arhar/Tur,0.510909091,1048.3,57115.5,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Bajra,0.9469747900000001,1048.3,18458.5,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Castor seed,0.266,1048.3,59073.0,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Cotton(lint),1.093809524,1048.3,371461.0,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Dry chillies,2.171090909,1048.3,32277.0,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Gram,0.976875,1048.3,21155.5,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Groundnut,1.2329545455,1048.3,288825.5,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Horse-gram,0.4004761905,1048.3,16109.5,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Jowar,0.6885,1048.3,109098.0,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Maize,3.3622727275,1048.3,57797.0,110953.27272727272,1129.45,147059.0
Andhra Pradesh,1998,Mesta,7.742499999999999,1048.3,20184.0,110953.27272727272,1129.45,147059.0
