State,Year,Crop,Yield,Rainfall,Fertilizer_N,Pesticides
Assam,1997,Arecanut,0.796086957,2051.4,7024878.38,22882.34
Assam,1997,Arhar/Tur,0.710434783,2051.4,631643.29,2057.47
Assam,1997,Castor seed,0.238333333,2051.4,75755.32,246.76
Assam,1997,Coconut ,5238.051739,2051.4,1870661.52,6093.36
Assam,1997,Cotton(lint),0.420909091,2051.4,165500.63,539.09
Assam,1997,Dry chillies,0.643636364,2051.4,1293074.79,4211.97
Assam,1997,Gram,0.465454545,2051.4,283511.43,923.49
Assam,1997,Jute,9.919565217,2051.4,8995468.4,29301.2
Assam,1997,Linseed,0.461363636,2051.4,961026.66,3130.38
Assam,1997,Maize,0.615652174,2051.4,1828786.72,5956.96
Assam,1997,Mesta,4.568947368,2051.4,562930.55,1833.65
Assam,1997,Niger seed,0.482352941,2051.4,943515.38,3073.34
Assam,1997,Onion,2.342608696,2051.4,745371.44,2427.92
Assam,1997,Other  Rabi pulses,0.520869565,2051.4,10306625.49,33572.07
Assam,1997,Potato,7.561304348,2051.4,7162399.03,23330.29
Assam,1997,Rapeseed &Mustard,0.554782609,2051.4,26580219.64,86580.52
Assam,1997,Rice,0.780869565,2051.4,57802260.86,188280.98
Assam,1997,Rice,1.060434783,2051.4,16652275.58,54241.94
Assam,1997,Rice,0.941304348,2051.4,165911859.6,540429.51
Assam,1997,Sesamum,0.487391304,2051.4,1500355.05,4887.15
Assam,1997,Small millets,0.473,2051.4,998333.3,3251.9
Assam,1997,Sugarcane,41.89695652,2051.4,2980534.06,9708.58
Assam,1997,Sweet potato,3.440434783,2051.4,892694.6,2907.8
Assam,1997,Tapioca,4.41826087,2051.4,234594.05,764.15
Assam,1997,Tobacco,0.38,2051.4,41208.61,134.23
Assam,1997,Turmeric,0.67,2051.4,958457.07,3122.01
Assam,1997,Wheat,1.25952381,2051.4,8060708.66,26256.38
Karnataka,1997,Arecanut,1.293571429,1266.7,8860327.0,28861.0
Karnataka,1997,Arhar/Tur,0.268235294,1266.7,40143657.7,130761.1
Karnataka,1997,Bajra,0.404545455,1266.7,28660350.33,93356.19
